Date,Adj. Close,Adj. Volume,Code,Month
2012/12/31,35.11554528,1946100,WIKI/MAR,12
2013/1/31,37.66888919,2593200,WIKI/MAR,1
2013/2/28,37.29247936,2701000,WIKI/MAR,2
2013/3/31,39.92044115,2391500,WIKI/MAR,3
2013/4/30,40.70504845,3683900,WIKI/MAR,4
2013/5/31,39.87032005,2352200,WIKI/MAR,5
2013/6/30,38.31384957,2708600,WIKI/MAR,6
2013/7/31,39.45273041,2936700,WIKI/MAR,7
2013/8/31,38.11430372,1671500,WIKI/MAR,8
2013/9/30,40.08721216,2357300,WIKI/MAR,9
2013/10/31,42.96556168,4457600,WIKI/MAR,10
2013/11/30,44.97900704,1346100,WIKI/MAR,11
2013/12/31,47.20882553,1484100,WIKI/MAR,12
2014/1/31,47.16003928,2054300,WIKI/MAR,1
2014/2/28,52.04106805,2271500,WIKI/MAR,2
2014/3/31,53.75881675,2800000,WIKI/MAR,3
2014/4/30,55.59172178,4419400,WIKI/MAR,4
2014/5/31,59.33404797,3821600,WIKI/MAR,5
2014/6/30,61.722046,1133700,WIKI/MAR,6
2014/7/31,62.30941649,3291400,WIKI/MAR,7
2014/8/31,67.02159925,1393100,WIKI/MAR,8
2014/9/30,67.5044638,1989277,WIKI/MAR,9
2014/10/31,73.15397901,3577333,WIKI/MAR,10
2014/11/30,76.28758542,981154,WIKI/MAR,11
2014/12/31,75.55172344,1428801,WIKI/MAR,12
2015/1/31,72.13383822,3178101,WIKI/MAR,1
2015/2/28,80.6560852,2035097,WIKI/MAR,2
2015/3/31,77.95784312,1920806,WIKI/MAR,3
2015/4/30,77.69578364,5499457,WIKI/MAR,4
2015/5/31,75.93098241,2532166,WIKI/MAR,5
2015/6/30,72.42602618,1828769,WIKI/MAR,6
2015/7/31,70.69302004,3438888,WIKI/MAR,7
2015/8/31,69.0321178,2026170,WIKI/MAR,8
2015/9/30,66.65810073,3438149,WIKI/MAR,9
2015/10/31,75.01112375,2561105,WIKI/MAR,10
2015/11/30,69.51435589,3183420,WIKI/MAR,11
2015/12/31,65.72052488,1940968,WIKI/MAR,12
2016/1/31,60.07389267,3170979,WIKI/MAR,1
2016/2/29,67.06071009,4900574,WIKI/MAR,2
2016/3/31,70.04227945,4621028,WIKI/MAR,3
2016/4/30,68.9697017,6485753,WIKI/MAR,4
2016/5/31,65.28112315,2373570,WIKI/MAR,5
2016/6/30,65.69629686,4329573,WIKI/MAR,6
2016/7/31,70.87608313,2408302,WIKI/MAR,7
2016/8/31,70.51033486,2337346,WIKI/MAR,8
2016/9/30,66.84097148,6088174,WIKI/MAR,9
2016/10/31,68.20102095,2697757,WIKI/MAR,10
2016/11/30,78.56120027,3470969,WIKI/MAR,11
2016/12/31,82.39807229,2388010,WIKI/MAR,12
2004/1/31,33.22897364,2238100,WIKI/MMC,1
2004/2/29,33.97951086,1207000,WIKI/MMC,2
2004/3/31,32.78289962,2601500,WIKI/MMC,3
2004/4/30,32.04467034,2570200,WIKI/MMC,4
2004/5/31,31.34835599,1594600,WIKI/MMC,5
2004/6/30,32.24361729,1754900,WIKI/MMC,6
2004/7/31,31.77028828,1647200,WIKI/MMC,7
2004/8/31,31.99220782,927700,WIKI/MMC,8
2004/9/30,32.75818819,1849300,WIKI/MMC,9
2004/10/31,19.94689269,7014000,WIKI/MMC,10
2004/11/30,20.61755828,2663300,WIKI/MMC,11
2004/12/31,23.72569666,6953700,WIKI/MMC,12
2005/1/31,23.43723834,6611300,WIKI/MMC,1
2005/2/28,23.54541021,3838000,WIKI/MMC,2
2005/3/31,22.0606204,1771000,WIKI/MMC,3
2005/4/30,20.44238642,1921900,WIKI/MMC,4
2005/5/31,21.17898329,1648600,WIKI/MMC,5
2005/6/30,20.20171615,4157700,WIKI/MMC,6
2005/7/31,21.25764486,1705900,WIKI/MMC,7
2005/8/31,20.58256604,3054500,WIKI/MMC,8
2005/9/30,22.29961433,2002400,WIKI/MMC,9
